Date,Time Slug Peak,Stream,Reach length (m),Stage Slug Peak (m),Stage meters,Measured Q (L s-1),notes
2010-09-02,15:35,WS06,70,3.243,0.081666881,1.29,
2010-11-01,10:59,WS06,70,3.174,0.079929288,2.15,
2011-01-22,9:34,WS06,70,3.729,0.093905581,7.98,
2011-03-07,13:03,WS06,70,5.824,0.14666294,24.6,
2011-04-13,14:24,WS06,70,5.237,0.131880806,14.24,
2011-04-26,13:19,WS06,35,5.403,0.136061103,14.33,
2011-05-01,16:46,WS06,70,5.683,0.143112206,17.54,
2011-05-04,12:55,WS06,70,5.075,0.127801239,14.33,
2011-06-01,13:27,WS06,70,4.409,0.111029688,6.19,
2011-06-30,12:55,WS06,70,0.08852852,0.08852852,3.64,
2011-11-17,11:57,WS06,70,0.08244989,0.08244989,2.33,
2011-12-11,11:08,WS06,70,0.1002701,0.1002701,5.91,
2012-01-27,10:26,WS06,70,0.109109,0.109109,14.5,
2012-02-13,10:43,WS06,70,0.09094087,0.09094087,9.96,
2012-04-03,13:27,WS06,70,0.07862096,0.07862096,5.47,
2012-04-30,18:00,WS06,70,0.07976052,0.07976052,5.23,
2012-05-30,12:30,WS06,70,0.08176319,0.08176319,5.72,
2012-07-01,13:15,WS06,70,0.0699517,0.0699517,2.45,
2012-08-09,10:30,WS06,70,0.07361789,0.07361789,4.44,
2012-09-23,14:15,WS06,70,0.0723329,0.0723329,3.93,
2012-10-16,10:30,WS06,70,0.08768088,0.08768088,5.7,
2013-03-06,15:15,WS06,70,0.1064018,0.1064018,10.56,
2013-03-29,8:45,WS06,70,0.09231948,0.09231948,7.64,
2013-08-05,10:30,WS06,70,0.07737221,0.07737221,7.33,
2010-09-03,15:33,WS10,70,3.25,,,
2010-10-27,9:48,WS10,70,4.7,,,
2010-11-02,10:59,WS10,70,4.79,,,
2011-01-20,14:29,WS10,70,3.92,0.09871544,18.49,
2011-01-23,9:43,WS10,70,3.83,0.096537153,15.96,
2011-01-29,13:07,WS10,90,3.87,0.097393358,17.48,
2011-03-29,17:00,WS10,55,5.02,0.126416201,32.94,
2011-04-13,17:53,WS10,90,4.75,0.119591741,24.48,
2011-04-26,15:41,WS10,35,4.48,0.112817646,30.14,
2011-05-01,17:16,WS10,70,5.46,0.137496506,29.78,
2011-05-04,13:34,WS10,70,5.47,0.137748331,33.97,
2011-06-01,18:06,WS10,90,3.11,0.078317607,10.75,
2011-07-01,11:06,WS10,70,0.100228,0.100228,9.02,
2011-09-20,10:45,WS10,70,0.08038148,0.08038148,4.96,
2011-11-17,9:57,WS10,70,0.1379488,,,
2011-12-11,14:17,WS10,70,0.1154443,0.1154443,28.37,
2012-01-27,13:41,WS10,70,0.1355213,0.1355213,35.86,
2012-02-13,12:48,WS10,70,0.09491486,0.09491486,16.59,
2012-04-04,10:30,WS10,70,0.06643513,0.06643513,10.82,
2012-04-30,12:45,WS10,70,0.06643064,0.06643064,12.69,
2012-05-31,9:15,WS10,70,0.06093423,0.06093423,9.71,
2012-08-09,13:00,WS10,70,0.0671129,0.0671129,9.72,
2012-09-23,16:30,WS10,70,0.06539731,0.06539731,8.88,
2012-10-16,13:30,WS10,70,0.1060978,0.1060978,12.99,
2013-03-06,16:45,WS10,70,0.07192583,0.07192583,20.01,
2013-03-29,11:00,WS10,70,0.06289671,0.06289671,13.44,
2013-05-16,11:00,WS10,70,0.08230671,0.08230671,18.06,
2010-09-03,16:04,WS07,70,3.65,0.091916162,1.46,
2010-10-27,10:36,WS07,70,6.75,0.169981944,17.65,
2010-11-02,12:17,WS07,70,5.2,0.130949053,4.16,
2011-01-20,12:52,WS07,70,4.77,0.120120574,12.95,
2011-01-22,14:48,WS07,70,4.59,0.115587722,8.81,
2011-01-29,11:01,WS07,70,4.58,0.115335897,10.12,
2011-03-07,13:17,WS07,70,7.3,0.183832325,40.49,
2011-03-29,11:18,WS07,35,6.61,0.166422816,23.8,
2011-04-13,14:01,WS07,70,5.63,0.141777533,13.06,
2011-04-26,13:28,WS07,35,5.4,0.136086285,13.85,
2011-05-01,13:08,WS07,70,5.14,0.129387738,16.59,
2011-05-04,13:14,WS07,70,4.97,0.125131893,14.05,
2011-06-01,14:07,WS07,70,3.59,0.090405212,3.58,
2011-06-30,13:25,WS07,70,0.1508134,0.1508134,3.25,
2011-10-17,13:38,WS07,70,0.1409373,0.1409373,1.96,
2011-11-17,11:56,WS07,70,0.1719002,0.1719002,6.16,
2011-12-11,11:21,WS07,70,0.2080915,0.2080915,13.95,
2012-01-27,11:15,WS07,70,0.2006841,0.2006841,22.2,
2012-02-13,11:07,WS07,70,0.1668907,0.1668907,7.84,
2012-04-03,13:15,WS07,70,0.1154502,0.1154502,5.46,
2012-04-30,17:45,WS07,70,0.162687,0.162687,6.92,
2012-05-30,12:15,WS07,70,0.1392628,0.1392628,4.68,
2012-07-02,15:30,WS07,70,0.1220025,0.1220025,1.6,
2012-08-09,11:00,WS07,70,0.1419413,0.1419413,6.19,
2012-09-23,14:30,WS07,70,0.1476891,0.1476891,4.33,
2012-10-16,11:30,WS07,70,0.1555125,0.1555125,7.92,
2013-03-06,15:30,WS07,70,0.02502758,0.02502758,11.32,
2013-03-15,17:30,WS07,70,0.07656907,0.07656907,9.61,
2013-03-29,8:45,WS07,70,0.1966389,0.1966389,7.33,
2010-09-03,19:06,WS08,70,3.43,0.087122,,removed these values
2010-10-14,11:31,WS08,45,3.61,0.091694,,removed these values
2010-11-01,15:22,WS08,70,4.43,0.112522,,removed these values
2011-01-22,15:32,WS08,70,4.54,0.115316,7.64,
2011-03-07,14:25,WS08,70,5.4,0.13716,26.15,
2011-03-29,11:32,WS08,35,4.67,0.118618,15.73,
2011-04-13,8:56,WS08,70,4.39,0.111506,11.44,
2011-04-26,13:38,WS08,35,3.79,0.096266,12.29,
2011-05-01,12:30,WS08,70,3.26,0.082804,21.27,
2011-05-04,15:07,WS08,70,3.15,0.08001,8.87,
2011-06-01,18:10,WS08,70,2.77,0.070358,2.87,
2011-06-30,13:49,WS08,70,2.08,0.052832,2.71,
2011-10-17,19:37,WS08,70,2.67,0.067818,1.29,
2011-11-17,16:28,WS08,70,3.59,0.091186,3.88,
2011-12-11,12:16,WS08,70,3.57,0.090678,10.31,
2012-01-27,11:54,WS08,70,3.2744,0.08316976,14.85,
2012-02-13,11:30,WS08,70,2.7498,0.06984492,7.07,
2012-04-03,13:04,WS08,70,3.1988,0.08124952,4.72,
2012-04-30,17:45,WS08,70,,0.07428107,4.44,
2012-05-30,13:00,WS08,70,,0.0763315,4.13,
2013-08-05,11:30,WS08,70,,0.07900737,3.46,
2010-09-03,1:55,WS09,70,2.26,0.057404,1.02,
2010-09-30,11:51,WS09,70,2.92,0.074168,6.78,
2010-10-14,12:35,WS09,45,2.41,0.061214,1.41,
2010-10-26,17:22,WS09,70,3.99,0.101346,2.79,
2010-11-01,12:32,WS09,70,3.12,0.079248,1.73,
2011-01-23,9:13,WS09,70,3.1,0.07874,4.52,
2011-01-29,12:26,WS09,70,3.14,0.079756,5.48,
2011-03-07,15:41,WS09,70,3.79,0.096266,16.11,
2011-03-29,16:51,WS09,35,3.77,0.095758,8.73,
2011-04-13,8:23,WS09,70,3.64,0.092456,6.27,
2011-04-26,15:36,WS09,35,3.36,0.085344,6.42,
2011-05-01,12:13,WS09,70,3.21,0.081534,7.89,
2011-05-04,15:41,WS09,70,3.22,0.081788,10.35,
2011-06-01,14:41,WS09,70,2.42,0.061468,1.25,
2011-06-30,19:36,WS09,70,2.19,0.055626,1.09,
2011-08-15,10:38,WS09,17,1.6,0.04064,0.23,
2011-11-17,16:50,WS09,70,3.014,0.0765556,1.1,
2011-12-11,13:54,WS09,70,3.779,0.0959866,7.49,
2012-01-27,13:18,WS09,70,3.736,0.0948944,8.27,
2012-02-13,12:22,WS09,70,2.914,0.0740156,5.61,
2012-04-04,10:49,WS09,70,2.5032,0.06358128,3.47,
2012-04-30,12:45,WS09,70,,0.06355062,3.64,
2012-05-31,9:00,WS09,70,,0.05134524,2.53,
2012-07-02,10:00,WS09,70,,0.05072203,1.84,
2012-08-09,13:30,WS09,70,,0.0672238,2.24,
2012-09-23,16:15,WS09,70,,0.06084429,2.26,
2012-10-16,13:30,WS09,70,,0.07376459,3.65,
2013-03-06,16:45,WS09,70,,0.07571521,5.24,
2013-03-29,10:30,WS09,70,,0.06899636,3.43,
