stream,meter,Wetted width (m)
WS07,70,2.4
WS07,65,1.65
WS07,60,3.35
WS07,55,2.7
WS07,50,1.7
WS07,45,2.4
WS07,40,2.25
WS07,35,2.3
WS07,30,1.7
WS07,25,3.5
WS07,20,2.9
WS07,15,1.1
WS07,10,1.55
WS07,5,1.55
WS07,0,2.4
WS06,70,1
WS06,65,4.55
WS06,60,1.6
WS06,55,4.1
WS06,50,3.6
WS06,45,1.65
WS06,40,2.3
WS06,35,2.3
WS06,30,2.25
WS06,25,3.15
WS06,20,2.8
WS06,15,4.95
WS06,10,4.3
WS06,5,4.3
WS06,0,2.4
WS08,70,1.9
WS08,65,2.7
WS08,60,1.25
WS08,55,1.5
WS08,50,1.8
WS08,45,1.75
WS08,40,1.38
WS08,35,2.75
WS08,30,2.8
WS08,25,1.2
WS08,20,2.15
WS08,15,2.2
WS08,10,2.4
WS08,5,2.2
WS08,0,1.75
WS09,70,1.76
WS09,65,1.5
WS09,60,1.25
WS09,55,0.9
WS09,50,2.63
WS09,45,1.6
WS09,40,2.55
WS09,35,3.25
WS09,30,1.8
WS09,25,2.8
WS09,20,1.6
WS09,15,1.65
WS09,10,2.35
WS09,5,1.2
WS09,0,1.6
WS10,70,2.4
WS10,65,2.75
WS10,60,2.15
WS10,55,2.25
WS10,50,2.7
WS10,45,2.65
WS10,40,1.95
WS10,35,2.3
WS10,30,1.68
WS10,25,0.8
WS10,20,2.4
WS10,15,1.55
WS10,10,1.65
WS10,5,4
WS10,0,2.3
